"","ProductTitle","Price","Category","Ratings","Reviews","Description"
"1","1. Shuttle Art 116 PCS Drawing Kit, Professional Drawing Supplies with Sketch, Charcoal, Colored, Graphite, Pastel Pencils & Sticks, Complete Drawing Tools and Paper Pads in Zipper Case for Artists&Kids","$25.49","Arts and Crafts",4.8,"5,052","Check each product page for other buying options. Price and other details may vary based on product size and color."
"2","2. Caliart Art Supplies, 153-Pack Deluxe Wooden Art Set Crafts Drawing Painting Coloring Supplies Kit with 2 A4 Sketch Pads, Halloween Creative Gift Box for Adults Artist Beginners Kids Girls Boys","$32.99","Arts and Crafts",4.6,"1,026","Shuttle Art 116 PCS Drawing Kit, Professional Drawing Supplies with Sketch, Charcoal, Colored, Graphite, Pastel Pencils & Sticks, Complete Drawing Tools and Paper Pads in Zipper Case for Artists&Kids"
"3","3. Castle Art Supplies 120 Colored Pencils Zipper-Case Set | Quality Soft Core Colored Leads for Adult Artists, Professionals and Colorists | In Neat, Strong Carry-Anywhere Zipper Case","$29.74","Arts and Crafts",4.8,"12,762","Caliart Art Supplies, 153-Pack Deluxe Wooden Art Set Crafts Drawing Painting Coloring Supplies Kit with 2 A4 Sketch Pads, Halloween Creative Gift Box for Adults Artist Beginners Kids Girls Boys"
"4","4. POSCA 8-Color Paint Marker Set, PC-5M Medium","$0.19","Arts and Crafts",4.8,"14,902","Castle Art Supplies 120 Colored Pencils Zipper-Case Set | Quality Soft Core Colored Leads for Adult Artists, Professionals and Colorists | In Neat, Strong Carry-Anywhere Zipper Case"
"5","5. 9 x 12 inches Sketch Book, Top Spiral Bound Sketch Pad, 1 Pack 100-Sheets (68lb/100gsm), Acid Free Art Sketchbook Artistic Drawing Painting Writing Paper for Kids Adults Beginners Artists","$35.99","Arts and Crafts",4.8,"12,087","POSCA 8-Color Paint Marker Set, PC-5M Medium"
"6","6. Sharpie Creative Paint-like Brush Tip Acrylic Markers, Assorted Colors, Stocking Stuffers, 12 Count, Perfect for Art and Craft Supplies","$44.79","Arts and Crafts",4.8,"2,834","9 x 12 inches Sketch Book, Top Spiral Bound Sketch Pad, 1 Pack 100-Sheets (68lb/100gsm), Acid Free Art Sketchbook Artistic Drawing Painting Writing Paper for Kids Adults Beginners Artists"
"7","7. Crayola Clicks Retractable Tip Markers (10ct), Washable Art Marker Set, Coloring Markers for Kids, Stocking Stuffer for Kids, 3+","$0.37","Arts and Crafts",4.7,"2,565","Sharpie Creative Paint-like Brush Tip Acrylic Markers, Assorted Colors, Stocking Stuffers, 12 Count, Perfect for Art and Craft Supplies"
"8","8. Melissa & Doug Drawing Paper Pad (9 x 12 inches) - 50 Sheets, 3-Pack - FSC Certified","$69.99","Arts and Crafts",4.8,"18,575","Crayola Clicks Retractable Tip Markers (10ct), Washable Art Marker Set, Coloring Markers for Kids, Stocking Stuffer for Kids, 3+"
"9","9. Soucolor 72-Color Colored Pencils for Adult Coloring Books, Back to School Supplies, Soft Core Artist Sketching Drawing Pencils Drawing Supplies, Art Supplies Kit for Adults Kids, Coloring Pencils Set","$12.15","Arts and Crafts",4.7,"19,628","Melissa & Doug Drawing Paper Pad (9 x 12 inches) - 50 Sheets, 3-Pack - FSC Certified"
"10","10. KALOUR 72 Count Colored Pencils for Adult Coloring Books, Soft Core,Ideal for Drawing Blending Shading,Color Pencils Set Gift for Adults Kids Beginners","$1.52","Arts and Crafts",4.7,"4,377","Soucolor 72-Color Colored Pencils for Adult Coloring Books, Back to School Supplies, Soft Core Artist Sketching Drawing Pencils Drawing Supplies, Art Supplies Kit for Adults Kids, Coloring Pencils Set"
"11","11. Soucolor 9"" x 12"" Sketch Book, 1-Pack 100 Sheets Spiral Bound Art Sketchbook, (68lb/100gsm) Acid Free Artist Drawing Book Paper Painting Sketching Pad for Kids Students Adults Beginners","$24.99","Arts and Crafts",4.8,"3,961","KALOUR 72 Count Colored Pencils for Adult Coloring Books, Soft Core,Ideal for Drawing Blending Shading,Color Pencils Set Gift for Adults Kids Beginners"
"12","12. Colored Pencils for Adult Coloring Books, 72 Colored Professional Drawing Pencils, Coloring Pencils for Adults Beginners Teen & Pro.","$8.98","Arts and Crafts",4.7,"2,275","Soucolor 9"" x 12"" Sketch Book, 1-Pack 100 Sheets Spiral Bound Art Sketchbook, (68lb/100gsm) Acid Free Artist Drawing Book Paper Painting Sketching Pad for Kids Students Adults Beginners"
"13","13. 146Pcs Drawing and Sketching Colored Pencils Set, Art Supplies Include Sketch Charcoal Colored Metallic Watercolor Graphite Mark Pencils, Professional Drawing kit and Sketchbook for Artists Adult","$0.09","Arts and Crafts",4.7,"667","Colored Pencils for Adult Coloring Books, 72 Colored Professional Drawing Pencils, Coloring Pencils for Adults Beginners Teen & Pro."
"14","14. iBayam 78-Pack Drawing Set Sketching Kit, Pro Art Supplies with 75 Sheets 3-Color Sketch Book, 32 Coloring Book, Charcoal, Metallic, Watercolor, Graphite Pencils for Adults Kids Teens Girls Boys Gifts","$17.99","Arts and Crafts",4.7,"1,461","146Pcs Drawing and Sketching Colored Pencils Set, Art Supplies Include Sketch Charcoal Colored Metallic Watercolor Graphite Mark Pencils, Professional Drawing kit and Sketchbook for Artists Adult"
"15","15. Castle Art Supplies 120 Colored Pencils Set | Quality Soft Core Coloring Pencils for Adults, Professionals and Colorists | Protected and Organized in Presentation Tin Box","$14.54","Arts and Crafts",4.8,"19,483","iBayam 78-Pack Drawing Set Sketching Kit, Pro Art Supplies with 75 Sheets 3-Color Sketch Book, 32 Coloring Book, Charcoal, Metallic, Watercolor, Graphite Pencils for Adults Kids Teens Girls Boys Gifts"
"16","16. Soucolor Art Brush Markers Pens for Adult Coloring Books, 34 Colors Numbered Dual Tip (Brush and Fine Point) Marker Pen for Kids Note taking Planner Lettering Calligraphy Drawing Preppy School Stuff","$1.21","Arts and Crafts",4.6,"12,693","Castle Art Supplies 120 Colored Pencils Set | Quality Soft Core Coloring Pencils for Adults, Professionals and Colorists | Protected and Organized in Presentation Tin Box"
"17","17. Shimmer Markers Outline Glitter Gel Pens: 12 Christmas Stocking Stuffers Teenage Tween Teen Girl Gifts Trendy Stuff Cute Arts Crafts Art Supplies Kids Ages 4 5 6 8 9 10 14 16 18 Year Old Outliner 2024","$33.48","Arts and Crafts",4.5,"1,008","Soucolor Art Brush Markers Pens for Adult Coloring Books, 34 Colors Numbered Dual Tip (Brush and Fine Point) Marker Pen for Kids Note taking Planner Lettering Calligraphy Drawing Preppy School Stuff"
"18","18. Betem 24 Colors Dual Tip Acrylic Paint Pens Markers, Premium Acrylic Paint Pens for Wood, Canvas, Stone, Rock Painting, Glass, Ceramic Surfaces, DIY Crafts Making Art Supplies","$8.69","Arts and Crafts",4.6,"10,015","Shimmer Markers Outline Glitter Gel Pens: 12 Christmas Stocking Stuffers Teenage Tween Teen Girl Gifts Trendy Stuff Cute Arts Crafts Art Supplies Kids Ages 4 5 6 8 9 10 14 16 18 Year Old Outliner 2024"
"19","19. Grabie 100 Colors Watercolor Paint Set - 50 Regular, 35 Metallic, 10 Macaron and 5 Fluorescent Colors - Portable with Carrying Case, Water Brush Pens, and Accessories - For Beginners and Professionals","$12.99","Arts and Crafts",4.8,"1,892","Betem 24 Colors Dual Tip Acrylic Paint Pens Markers, Premium Acrylic Paint Pens for Wood, Canvas, Stone, Rock Painting, Glass, Ceramic Surfaces, DIY Crafts Making Art Supplies"
"20","20. Compact Desktop Electric Pencil Sharpener, Black, Sold as 1 Each","$10.90","Arts and Crafts",4.6,"21,295","Grabie 100 Colors Watercolor Paint Set - 50 Regular, 35 Metallic, 10 Macaron and 5 Fluorescent Colors - Portable with Carrying Case, Water Brush Pens, and Accessories - For Beginners and Professionals"
"21","21. SAKURA Pigma Micron Fineliner Pens - Archival Black Ink Pens - Pens for Writing or Drawing - Holiday Gifts for Artists, Crafters & DIY Gifts Projects - Assorted Point Sizes - 6 Count","$0.07","Arts and Crafts",4.8,"60,415","Compact Desktop Electric Pencil Sharpener, Black, Sold as 1 Each"
"22","22. iBayam Journal Planner Pens Colored Pens Fine Point Markers Fine Tip Drawing Pens Fineliner Pen for Bullet Journaling Writing Note Taking Calendar Coloring Art Office School Supplies, 18-Pack","$14.99","Arts and Crafts",4.6,"117,198","SAKURA Pigma Micron Fineliner Pens - Archival Black Ink Pens - Pens for Writing or Drawing - Holiday Gifts for Artists, Crafters & DIY Gifts Projects - Assorted Point Sizes - 6 Count"
"23","23. Crehatos 9"" x 12"" Sketch Book, Top Spiral Bound Sketch Pad, 100 Sheets 68lb/100gsm Drawing Paper, 1 Pack","$8.99","Arts and Crafts",4.8,"83","iBayam Journal Planner Pens Colored Pens Fine Point Markers Fine Tip Drawing Pens Fineliner Pen for Bullet Journaling Writing Note Taking Calendar Coloring Art Office School Supplies, 18-Pack"
"24","24. nsxsu Stocking Stuffers for Kids, 8 Pieces Art Supplies Colored Pencils, Jumbo Colored Pencil for Adults, Rainbow Pencils Multicolored Pencils for Drawing, Coloring, Christmas Gifts, Party Favor Bags","$0.12","Arts and Crafts",4.6,"5,736","Crehatos 9"" x 12"" Sketch Book, Top Spiral Bound Sketch Pad, 100 Sheets 68lb/100gsm Drawing Paper, 1 Pack"
"25","25. iBayam Art Supplies, 150-Pack Deluxe Wooden Art Set Crafts Drawing Painting Kit with 1 Coloring Book, 2 Sketch Pads, Creative Gift Box for Adults Artist Beginners Kids Girls Boys","$19.99","Arts and Crafts",4.6,"6,914","nsxsu Stocking Stuffers for Kids, 8 Pieces Art Supplies Colored Pencils, Jumbo Colored Pencil for Adults, Rainbow Pencils Multicolored Pencils for Drawing, Coloring, Christmas Gifts, Party Favor Bags"
"26","26. TBC The Best Crafts Paint Sticks,12 Classic Colors, Washable Paint, Non-toxic, Tempera Paint Sticks for Kids and Students","$9.99","Arts and Crafts",4.8,"5,613","iBayam Art Supplies, 150-Pack Deluxe Wooden Art Set Crafts Drawing Painting Kit with 1 Coloring Book, 2 Sketch Pads, Creative Gift Box for Adults Artist Beginners Kids Girls Boys"
"27","27. Chalk Markers - 8 Vibrant, Erasable, Non-Toxic, Water-Based, Reversible Tips, For Kids & Adults for Glass or Chalkboard Markers for Businesses, Restaurants, Liquid Chalk Markers (Vibrant 6mm)","$0.14","Arts and Crafts",4.4,"23,648","TBC The Best Crafts Paint Sticks,12 Classic Colors, Washable Paint, Non-toxic, Tempera Paint Sticks for Kids and Students"
"28","28. Micro Fineliner Drawing Art Pens: 12 Black Fine Line Waterproof Ink Set Artist Supplies Archival Inking Markers Liner Professional Sketch Outline Anime Manga Sketching Watercolor Zentangle Gift Stuff","$19.99","Arts and Crafts",4.5,"3,472","Chalk Markers - 8 Vibrant, Erasable, Non-Toxic, Water-Based, Reversible Tips, For Kids & Adults for Glass or Chalkboard Markers for Businesses, Restaurants, Liquid Chalk Markers (Vibrant 6mm)"
"29","29. Caliart 34 Double Tip Brush Pens Art Markers, Aesthetic Cute Preppy Stuff School Supplies, Artist Fine & Brush Pen Coloring Markers for Kids Adult Book Cards Drawing Craft Kit Teacher Office Supplies","$8.91","Arts and Crafts",4.5,"10,333","Micro Fineliner Drawing Art Pens: 12 Black Fine Line Waterproof Ink Set Artist Supplies Archival Inking Markers Liner Professional Sketch Outline Anime Manga Sketching Watercolor Zentangle Gift Stuff"
"30","30. KEFF 24-Pack Bulk Canvas for Painting, 6 of 5x7, 8x10, 9x12, 11x14 Canvas Boards for Painting, Art Supplies for Adults & Kids - 100% Cotton Primed Painting Canvas for Acrylic, Oil, Watercolor, Tempera","$14.99","Arts and Crafts",4.8,"4,733","Caliart 34 Double Tip Brush Pens Art Markers, Aesthetic Cute Preppy Stuff School Supplies, Artist Fine & Brush Pen Coloring Markers for Kids Adult Book Cards Drawing Craft Kit Teacher Office Supplies"
"31","1. Toddler Boy Clothes Letter Print Plaid Shirts Top+Long Pants 2pcs Fall Winter Outfit Set","$19.99","Boys' Clothing",4.6,"225","Check each product page for other buying options. Price and other details may vary based on product size and color."
"32","2. MIGU Toddler Boys Clothes Winter Outfits Dinosaur Clothes For Boys Printed Long Sleeve Top+Pants 2Pcs Set","$23.99","Boys' Clothing",4.6,"636","Toddler Boy Clothes Letter Print Plaid Shirts Top+Long Pants 2pcs Fall Winter Outfit Set"
"33","3. Hind Boys 4-Piece Active Long Sleeve Quick Dry T-Shirt and Athletic Jogger Sweatpant Set Kids Clothes for Sports and Running","$37.99","Boys' Clothing",4.5,"769","MIGU Toddler Boys Clothes Winter Outfits Dinosaur Clothes For Boys Printed Long Sleeve Top+Pants 2Pcs Set"
"34","4. YuanLu Boys Suit for Kids Tuxedo Wedding Ring Bearer Outfit Boy Formal Suits 5 Piece Slim Fit Dresswear Suit Set","$52.44","Boys' Clothing",4.5,"6,366","Hind Boys 4-Piece Active Long Sleeve Quick Dry T-Shirt and Athletic Jogger Sweatpant Set Kids Clothes for Sports and Running"
"35","5. PURE CHAMP 3Pk Boys Sweatpants Fleece Athletic Workout Kids Clothes Boys Joggers with Zipper Pocket and Drawstring Size 4-20","$65.55","Boys' Clothing",4.2,"1,697","YuanLu Boys Suit for Kids Tuxedo Wedding Ring Bearer Outfit Boy Formal Suits 5 Piece Slim Fit Dresswear Suit Set"
"36","6. Nike Kids' Everyday Cushion Crew Socks (6 Pairs)","$32.56","Boys' Clothing",4.6,"2,502","PURE CHAMP 3Pk Boys Sweatpants Fleece Athletic Workout Kids Clothes Boys Joggers with Zipper Pocket and Drawstring Size 4-20"
"37","7. Hanes Boys' and Toddler Underwear, Comfort Flex and Comfortsoft Boxer Briefs, Multiple Packs Available pack of 10","$38.83","Boys' Clothing",4.7,"57,272","Nike Kids' Everyday Cushion Crew Socks (6 Pairs)"
"38","8. Nike Kids' Crew Socks","$28.62","Boys' Clothing",4.5,"501","Hanes Boys' and Toddler Underwear, Comfort Flex and Comfortsoft Boxer Briefs, Multiple Packs Available pack of 10"
"39","9. adidas Boys' Big Active Sports Athletic Tricot Jogger Pant","$4.77","Boys' Clothing",4.7,"19,604","Nike Kids' Crew Socks"
"40","10. Hanes Boys' Socks, Double Tough Cushioned Crew Socks, 12-pair Packs","$6.99","Boys' Clothing",4.7,"20,891","adidas Boys' Big Active Sports Athletic Tricot Jogger Pant"
"41","11. Hanes boys Potty Trainer Underwear 6-Pack","$15.00","Boys' Clothing",4.7,"2,558","Hanes Boys' Socks, Double Tough Cushioned Crew Socks, 12-pair Packs"
"42","12. The Children's Place Boys' Big Kid Medium Weight Puffer Jacket, Wind, Water-Resistant Seasonal","$26.75","Boys' Clothing",4.7,"1,089","Hanes boys Potty Trainer Underwear 6-Pack"
"43","13. Carhartt Boys' Long Sleeve Hooded Sweatshirt","$4.46","Boys' Clothing",4.8,"635","The Children's Place Boys' Big Kid Medium Weight Puffer Jacket, Wind, Water-Resistant Seasonal"
"44","14. Under Armour Boys' Brawler 2.0 Tapered Pants","$18.00","Boys' Clothing",4.6,"2,524","Carhartt Boys' Long Sleeve Hooded Sweatshirt"
"45","15. Legendary Whitetails Kids Camo Outfitter Hoodie","$36.00","Boys' Clothing",4.7,"3,540","Under Armour Boys' Brawler 2.0 Tapered Pants"
"46","16. Nike boys Sportswear Club Pullover Hoodie","$6.99","Boys' Clothing",4.4,"659","Legendary Whitetails Kids Camo Outfitter Hoodie"
"47","17. unenow Merino Wool Ski Socks Kids 2 Pairs, Winter Warm Snowboarding Thermal Socks for Boys Girls Toddlers","$0.58","Boys' Clothing",4.7,"169","Nike boys Sportswear Club Pullover Hoodie"
"48","18. True Religion Boys Sweatshirts and Sweatpants for Kids 2 Piece Clothing Set Fleece Hoodie and Jogger Pants","$10.00","Boys' Clothing",4.6,"3","unenow Merino Wool Ski Socks Kids 2 Pairs, Winter Warm Snowboarding Thermal Socks for Boys Girls Toddlers"
"49","19. 2Pcs Kids Boys Flannel Plaid Shirt Tops Pants Set Hoodie Sweatsuit for Fall Winter Spring Outfits 4-12 Years","$8.39","Boys' Clothing",4.7,"5","True Religion Boys Sweatshirts and Sweatpants for Kids 2 Piece Clothing Set Fleece Hoodie and Jogger Pants"
"50","20. Toddler Boy Clothes Color Block Sweater Jeans Toddler Boy Fall Winter Outifts Toddler Boy Clothing Set","$13.00","Boys' Clothing",4.7,"31","2Pcs Kids Boys Flannel Plaid Shirt Tops Pants Set Hoodie Sweatsuit for Fall Winter Spring Outfits 4-12 Years"
"51","21. Carhartt Boys' Canvas Insulated Hooded Active Jac","$16.97","Boys' Clothing",4.9,"225","Toddler Boy Clothes Color Block Sweater Jeans Toddler Boy Fall Winter Outifts Toddler Boy Clothing Set"
"52","22. Carhartt Boys' Long-Sleeve Half-Zip Hooded Sweatshirt","$19.99","Boys' Clothing",4.9,"1,265","Carhartt Boys' Canvas Insulated Hooded Active Jac"
"53","23. Nike Boys' NSW Club Pants","$34.99","Boys' Clothing",4.5,"368","Carhartt Boys' Long-Sleeve Half-Zip Hooded Sweatshirt"
"54","24. Mad Dog Concepts 3-Pack Boys Pajama Pants - Soft Micro Fleece PJ Bottoms for Kids, Printed Plaid Design - Boy's Sleepwear","$20.67","Boys' Clothing",4.7,"3,072","Nike Boys' NSW Club Pants"
"55","25. Under Armour Boys' Brawler 2.0 Pants","$30.00","Boys' Clothing",4.7,"2,264","Mad Dog Concepts 3-Pack Boys Pajama Pants - Soft Micro Fleece PJ Bottoms for Kids, Printed Plaid Design - Boy's Sleepwear"
"56","26. Minecraft Boys' 6-Piece Snug-fit Cotton Pajama Set, Soft & Cute for Kids","$29.99","Boys' Clothing",4.6,"1,108","Under Armour Boys' Brawler 2.0 Pants"
"57","27. Thermajohn Thermal Underwear for Kids, Boys Thermal Underwear Set | Kids Base Layers for Skiing | Long Johns for Boys Kids","$34.99","Boys' Clothing",4.6,"2,436","Minecraft Boys' 6-Piece Snug-fit Cotton Pajama Set, Soft & Cute for Kids"
"58","28. Hanes Boys' Socks, Double Tough Cushioned Ankle and No Show, 12-Pair Packs","$54.99","Boys' Clothing",4.7,"22,036","Thermajohn Thermal Underwear for Kids, Boys Thermal Underwear Set | Kids Base Layers for Skiing | Long Johns for Boys Kids"
"59","29. FORTNITE Fun: 6-Pack High Socks for Boys and Teens – Vibrant Gaming Designs, Comfortable Fit, Durable Materials","$19.99","Boys' Clothing",4.8,"58","Hanes Boys' Socks, Double Tough Cushioned Ankle and No Show, 12-Pair Packs"
"60","30. Simple Joys by Carter's Toddler Boys' Pull-On Denim Pant, Pack of 2","$10.00","Boys' Clothing",4.7,"7,605","FORTNITE Fun: 6-Pack High Socks for Boys and Teens – Vibrant Gaming Designs, Comfortable Fit, Durable Materials"
"61","1. Google Pixel Tablet - Android Tablet with 11-Inch Screen and Extra-Long Battery Life - Hazel - 8 GB RAM - 128 GB","$279.00","Computers and Tablets",4.5,"917","Google Pixel Tablet - Android Tablet with 11-Inch Screen and Extra-Long Battery Life - Hazel - 8 GB RAM - 128 GB"
"62","2. Samsung Galaxy Tab S9 FE+ Plus 12.4” 128GB Android Tablet, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version, 2023, Lavender","$399.00","Computers and Tablets",4.6,"2,053","Samsung Galaxy Tab S9 FE+ Plus 12.4” 128GB Android Tablet, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version, 2023, Lavender"
"63","3. Samsung Galaxy Tab A9+ Plus 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver","$399.99","Computers and Tablets",4.5,"7,071","Samsung Galaxy Tab A9+ Plus 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver"
"64","4. Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite","$599.99","Computers and Tablets",4.5,"7,071","Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite"
"65","5. ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","$149.00","Computers and Tablets",4.3,"1,458","ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74"
"66","6. Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947","$219.99","Computers and Tablets",4.2,"1,379","Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947"
"67","7. ASUS Chromebook CX1, 14"" FHD, Intel® Celeron N4500 Processor, 64GB Storage, 4GB RAM, ChromeOS, Transparent Silver, CX1400CKA-AS44F","$149.00","Computers and Tablets",4.1,"477","ASUS Chromebook CX1, 14"" FHD, Intel® Celeron N4500 Processor, 64GB Storage, 4GB RAM, ChromeOS, Transparent Silver, CX1400CKA-AS44F"
"68","8. Samsung Galaxy Tab S9 FE 10.9” 128GB WiFi Android Tablet, Large Display, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version,2023, Gray","$219.99","Computers and Tablets",4.6,"2,053","Samsung Galaxy Tab S9 FE 10.9” 128GB WiFi Android Tablet, Large Display, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version,2023, Gray"
"69","9. HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)","$1,099.99","Computers and Tablets",4.2,"302","HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)"
"70","10. Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue","$1,399.99","Computers and Tablets",4.2,"371","Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue"
"71","11. Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode","$299.00","Computers and Tablets",4.4,"39,311","Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode"
"72","12. ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33","$159.00","Computers and Tablets",4.1,"264","ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33"
"73","13. Samsung Galaxy Tab S9 11” 128GB WiFi 7 Android AI Tablet, Snapdragon 8 Gen 2 Processor, AMOLED Screen, Durable Design, S Pen Included, Long Battery Life, Auto Focus Camera, US Version, 2023, Graphite","$209.99","Computers and Tablets",4.7,"928","Samsung Galaxy Tab S9 11” 128GB WiFi 7 Android AI Tablet, Snapdragon 8 Gen 2 Processor, AMOLED Screen, Durable Design, S Pen Included, Long Battery Life, Auto Focus Camera, US Version, 2023, Graphite"
"74","14. 2 in 1 Tablet, Tablets 10 inch, Tablet with Keyboard Mouse Foldable Protective Cover Screen Protective Film Stylus Pen 6GB+128GB/1TB Expand 5G WiFi BT 5.0 WiFi6 Dual Camera 6000 mah Tab","$299.99","Computers and Tablets",3.5,"60","2 in 1 Tablet, Tablets 10 inch, Tablet with Keyboard Mouse Foldable Protective Cover Screen Protective Film Stylus Pen 6GB+128GB/1TB Expand 5G WiFi BT 5.0 WiFi6 Dual Camera 6000 mah Tab"
