"","Links","Images","Description","Price","Rating"
"1","https://amazon.com/sspa/click?ie=UTF8&spc=MTo3NjY1OTk5NDkwOTI0NzgzOjE3MzE5NDQ3NzY6c3BfYXRmX2Jyb3dzZTozMDAwOTc2MDA3MjgwMDI6OjA6Og&url=%2FTensine-Supplies-Drawing-Pencils-Sketching%2Fdp%2FB09WTSMH67%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc%26dib_tag%3Dse%26qid%3D1731944775%26s%3Darts-crafts-intl-ship%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1","https://m.media-amazon.com/images/I/81IUR6bmKvL._AC_UL320_.jpg","Art Supplies Drawing Kit, 146Pcs Drawing Pencils for Sketching - Include Colored, Graphite, Colored, Metallic, Charcoal Pencil, Ideal Gift for Beginners & Professional Artists Teens & Adults","39.","4.7 out of 5 stars"
"2","https://amazon.com/sspa/click?ie=UTF8&spc=MTo3NjY1OTk5NDkwOTI0NzgzOjE3MzE5NDQ3NzY6c3BfYXRmX2Jyb3dzZToyMDAwMjc2MTUwNjU4OTg6OjA6Og&url=%2F74pcs-Assorted-Drawing-Pencil-Set%2Fdp%2FB081ZY3Y7G%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc%26dib_tag%3Dse%26qid%3D1731944775%26s%3Darts-crafts-intl-ship%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1","https://m.media-amazon.com/images/I/81lpxybWt0L._AC_UL320_.jpg","KALOUR 76pc Art Supply Set - Sketching & Drawing Kit with Tutorial Book, Sketchbook & Paper - Pencils, Pastels, Watercolors for Beginner Artists","24.","4.8 out of 5 stars"
"3","https://amazon.com/sspa/click?ie=UTF8&spc=MTo3NjY1OTk5NDkwOTI0NzgzOjE3MzE5NDQ3NzY6c3BfYXRmX2Jyb3dzZTozMDA1MDU3MTc4Nzc3MDI6OjA6Og&url=%2FCokiki-Supplies-184-Watercolor-Beginners%2Fdp%2FB0CHS1LQHT%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc%26dib_tag%3Dse%26qid%3D1731944775%26s%3Darts-crafts-intl-ship%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1","https://m.media-amazon.com/images/I/81aekZMLdhL._AC_UL320_.jpg","Cokiki Art Supplies, 184 PCS Drawing Coloring Art Set, Art Kit with Colored Pencils,Crayons,Oil Pastels,Watercolor Paint Set,Arts and Crafts for Kids 6-12,Teens,Adults Artist Beginners","30.","4.7 out of 5 stars"
"4","https://amazon.com/Posca-Markers-Reversible-Acrylic-Supplies/dp/B001ANVDMA/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-4","https://m.media-amazon.com/images/I/81n06Btv5pL._AC_UL320_.jpg","15 Posca Paint Markers, 3M Fine Posca Markers of Acrylic Paint Penswith Reversible Tips | Posca Pens for Art Supplies, Fabric Paint, Fabric Markers, Paint Pen, Art Markers","23.","4.7 out of 5 stars"
"5","https://amazon.com/Soucolor-72-Color-Coloring-Crafting-72-Colors/dp/B01N09ZDEI/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-5","https://m.media-amazon.com/images/I/81mbDWmT1NL._AC_UL320_.jpg","Soucolor 72-Color Colored Pencils for Adult Coloring Books, Back to School Supplies, Soft Core Artist Sketching Drawing Pencils Drawing Supplies, Art Supplies Kit for Adults Kids, Coloring Pencils Set","8.","4.7 out of 5 stars"
"6","https://amazon.com/Betem-Acrylic-Painting-Surfaces-Supplies/dp/B09VCYS41G/ref=sr_1_6?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-6","https://m.media-amazon.com/images/I/81FV47uX-nL._AC_UL320_.jpg","Betem 24 Colors Dual Tip Acrylic Paint Pens Markers, Premium Acrylic Paint Pens for Wood, Canvas, Stone, Rock Painting, Glass, Ceramic Surfaces, DIY Crafts Making Art Supplies","11.","4.6 out of 5 stars"
"7","https://amazon.com/100-Sheets-Sketchbook-Artistic-Painting-Beginners/dp/B08TLK1ZSV/ref=sr_1_7?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-7","https://m.media-amazon.com/images/I/71mrpkslSuL._AC_UL320_.jpg","9 x 12 inches Sketch Book, Top Spiral Bound Sketch Pad, 1 Pack 100-Sheets (68lb/100gsm), Acid Free Art Sketchbook Artistic Drawing Painting Writing Paper for Kids Adults Beginners Artists","9.","4.8 out of 5 stars"
"8","https://amazon.com/Caliart-Supplies-Sketching-Watercolor-Beginners/dp/B0B7N2Q1NQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-8","https://m.media-amazon.com/images/I/81kHcBYZS7L._AC_UL320_.jpg","Caliart 176PCS Art Supplies Sketching Kit with 100 Sheets 3-Color Sketch Book, Graphite Colored Charcoal Watercolor & Metallic Pencils, School Supplies Gifts for Artists Adults Teens Girls Boys Kids","29.","4.8 out of 5 stars"
"9","https://amazon.com/Fineliner-Journaling-Calendar-Coloring-Supplies/dp/B0772XSNXY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-9","https://m.media-amazon.com/images/I/61Uz0P19r-L._AC_UL320_.jpg","iBayam Journal Planner Pens Colored Pens Fine Point Markers Fine Tip Drawing Pens Fineliner Pen for Bullet Journaling Writing Note Taking Calendar Coloring Art Office School Supplies, 18-Pack","8.","4.6 out of 5 stars"
"10","https://amazon.com/Melissa-Doug-Drawing-Paper-inches/dp/B01AW5V7PE/ref=sr_1_10?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-10","https://m.media-amazon.com/images/I/71lpDhVWZ7L._AC_UL320_.jpg","Melissa & Doug Drawing Paper Pad (9 x 12 inches) - 50 Sheets, 3-Pack - FSC Certified","10.","4.8 out of 5 stars"
"11","https://amazon.com/Yagol-Coloring-Professional-Sketching-Beginners/dp/B0C2YPJDFL/ref=sr_1_11?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-11","https://m.media-amazon.com/images/I/81GKkj0BcLL._AC_UL320_.jpg","Colored Pencils for Adult Coloring Books, 72 Colored Professional Drawing Pencils, Coloring Pencils for Adults Beginners Teen & Pro.","9.","4.7 out of 5 stars"
"12","https://amazon.com/Paintbrushes-Watercolor-Painting-Miniature-Detailing/dp/B07YDDF26Y/ref=sr_1_12?dib=eyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc&dib_tag=se&qid=1731944775&s=arts-crafts-intl-ship&sr=1-12","https://m.media-amazon.com/images/I/717vj8b2QkS._AC_UL320_.jpg","Soucolor Acrylic Paint Brushes Set, 20Pcs Round Pointed Tip Artist Paintbrushes for Acrylic Painting Oil Watercolor Canvas Boards Rock Body Face Nail Art, Halloween Pumpkin Ceramic Crafts Supplies","3.","4.6 out of 5 stars"
"13","https://amazon.com/sspa/click?ie=UTF8&spc=MTo3NjY1OTk5NDkwOTI0NzgzOjE3MzE5NDQ3NzY6c3BfbXRmX2Jyb3dzZTozMDAxOTM4NjI4NDkyMDI6OjA6Og&url=%2FArrtx-Markers-Acrylic-Artists-Coloring%2Fdp%2FB0CXPGDDP1%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc%26dib_tag%3Dse%26qid%3D1731944775%26s%3Darts-crafts-intl-ship%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1","https://m.media-amazon.com/images/I/71SkVBs7XJL._AC_UL320_.jpg","Arrtx 60 Colors Paint Markers Paint Pens, Acrylic Paint Pens for Artists Adults Coloring Drawing Cartoon Anime Comic - Brush Tip for Rock Painting, Wood, Canvas, DIY Crafts Making Art Supplies-60B","49.","4.6 out of 5 stars"
"14","https://amazon.com/sspa/click?ie=UTF8&spc=MTo3NjY1OTk5NDkwOTI0NzgzOjE3MzE5NDQ3NzY6c3BfbXRmX2Jyb3dzZTozMDAwMTM2MzExMzY0MDI6OjA6Og&url=%2FMarbling-Paint-Colors-Crafts-Activities%2Fdp%2FB08SC751LF%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.HKYuO0myqjMkrLEraS-H_BjotThFWkPSBSu_nJXu1LD9lPlyWo9JKpyfS5kvse0APKD25F_3R0XF4_JsZZ1KhEkdtssd7zpSDkY4wlGT_3MVwFKxVGNR8pi0EhJAoPHgxBkASZvywIzAMudt1anRe4taqKEdTm6VRdVKwBimuQGO1cQN4Ud-CmFgd2p-rh-EcYCHaWr0uzzl2gOWOsT_sbv3PmZVW4uaSSF5gPFnU4G2jVJPcus-0nnnXhSFRyCQb64BNwosX-_7KkKpflTFlPDQkl7kwae-o9LCEp8Gm_0.kfmFyG__73kVIhFlBy_T3SSkPhx3SS_kMuNBt6JMWnc%26dib_tag%3Dse%26qid%3D1731944775%26s%3Darts-crafts-intl-ship%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1","https://m.media-amazon.com/images/I/811dT0oI0AL._AC_UL320_.jpg","TMOL Marbling Paint Art Kit, 18 Colors Water Marbling kit, Water Art Paint Set, Arts and Crafts for Girls & Boys Ages 6-12, Craft Kits Art Set for Activities","27.","4.4 out of 5 stars"
